document_id,customer_id,document_type,date,source,risk_theme,text
DOC-CUST-0001-00001,CUST-0001,renewal_risk_note,2026-03-10,synthetic_demo_generator,stable_growth,Renewal risk note for Vertex Partners 1000: account health score is 64.8. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0001-00002,CUST-0001,support_ticket_summary,2026-05-08,synthetic_demo_generator,stable_growth,Support summary for Vertex Partners 1000: 2 unresolved tickets remain open. The main theme is stable_growth. Customer sentiment should be monitored before renewal.
DOC-CUST-0001-00003,CUST-0001,product_usage_summary,2026-05-20,synthetic_demo_generator,stable_growth,Product usage summary for Vertex Partners 1000: usage score is 48.1 and last login was 7 days ago. Adoption trend is linked to renewal health.
DOC-CUST-0001-00004,CUST-0001,contract_note,2026-03-30,synthetic_demo_generator,stable_growth,Contract note for Vertex Partners 1000: annual contract value is 13499. Payment delay is 15 days and tenure is 6 months.
DOC-CUST-0002-00005,CUST-0002,product_usage_summary,2026-02-21,synthetic_demo_generator,stable_growth,Product usage summary for Summit Works 1001: usage score is 64.4 and last login was 20 days ago. Adoption trend is linked to renewal health.
DOC-CUST-0002-00006,CUST-0002,contract_note,2026-04-08,synthetic_demo_generator,stable_growth,Contract note for Summit Works 1001: annual contract value is 14727. Payment delay is 2 days and tenure is 35 months.
DOC-CUST-0002-00007,CUST-0002,onboarding_note,2026-04-02,synthetic_demo_generator,stable_growth,Onboarding note for Summit Works 1001: onboarding completed is True. Low completion can reduce time-to-value and increase churn risk.
DOC-CUST-0002-00008,CUST-0002,renewal_risk_note,2026-04-17,synthetic_demo_generator,stable_growth,Renewal risk note for Summit Works 1001: account health score is 77.4. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0003-00009,CUST-0003,support_ticket_summary,2026-04-09,synthetic_demo_generator,stable_growth,Support summary for Bright Systems 1002: 2 unresolved tickets remain open. The main theme is stable_growth. Customer sentiment should be monitored before renewal.
DOC-CUST-0003-00010,CUST-0003,renewal_risk_note,2026-04-08,synthetic_demo_generator,stable_growth,Renewal risk note for Bright Systems 1002: account health score is 64.2. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0003-00011,CUST-0003,product_usage_summary,2026-05-04,synthetic_demo_generator,stable_growth,Product usage summary for Bright Systems 1002: usage score is 45.1 and last login was 11 days ago. Adoption trend is linked to renewal health.
DOC-CUST-0003-00012,CUST-0003,onboarding_note,2026-05-21,synthetic_demo_generator,stable_growth,Onboarding note for Bright Systems 1002: onboarding completed is True. Low completion can reduce time-to-value and increase churn risk.
DOC-CUST-0004-00013,CUST-0004,renewal_risk_note,2026-05-12,synthetic_demo_generator,stable_growth,Renewal risk note for Summit Analytics 1003: account health score is 84.1. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0004-00014,CUST-0004,onboarding_note,2026-03-02,synthetic_demo_generator,stable_growth,Onboarding note for Summit Analytics 1003: onboarding completed is True. Low completion can reduce time-to-value and increase churn risk.
DOC-CUST-0004-00015,CUST-0004,pricing_policy_note,2026-03-09,synthetic_demo_generator,stable_growth,Pricing note for Summit Analytics 1003: contract type is annual with monthly revenue of 7913.42. Discount approval requires evidence of retention risk.
DOC-CUST-0004-00016,CUST-0004,product_usage_summary,2026-04-19,synthetic_demo_generator,stable_growth,Product usage summary for Summit Analytics 1003: usage score is 82.2 and last login was 8 days ago. Adoption trend is linked to renewal health.
DOC-CUST-0005-00017,CUST-0005,support_ticket_summary,2026-05-08,synthetic_demo_generator,stable_growth,Support summary for Vertex Systems 1004: 1 unresolved tickets remain open. The main theme is stable_growth. Customer sentiment should be monitored before renewal.
DOC-CUST-0005-00018,CUST-0005,onboarding_note,2026-04-18,synthetic_demo_generator,stable_growth,Onboarding note for Vertex Systems 1004: onboarding completed is True. Low completion can reduce time-to-value and increase churn risk.
DOC-CUST-0005-00019,CUST-0005,renewal_risk_note,2026-04-06,synthetic_demo_generator,stable_growth,Renewal risk note for Vertex Systems 1004: account health score is 72.0. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0005-00020,CUST-0005,retention_playbook,2026-04-02,synthetic_demo_generator,stable_growth,"Retention playbook for stable_growth: recommended motions include executive check-in, support review, adoption coaching, and a commercially justified renewal incentive."
DOC-CUST-0006-00021,CUST-0006,renewal_risk_note,2026-04-18,synthetic_demo_generator,relationship_health,Renewal risk note for Summit Group 1005: account health score is 87.5. Risk theme is relationship_health; the account team should validate evidence before committing action.
DOC-CUST-0006-00022,CUST-0006,retention_playbook,2026-02-05,synthetic_demo_generator,relationship_health,"Retention playbook for relationship_health: recommended motions include executive check-in, support review, adoption coaching, and a commercially justified renewal incentive."
DOC-CUST-0006-00023,CUST-0006,onboarding_note,2026-04-13,synthetic_demo_generator,relationship_health,Onboarding note for Summit Group 1005: onboarding completed is True. Low completion can reduce time-to-value and increase churn risk.
DOC-CUST-0006-00024,CUST-0006,customer_success_call_note,2026-04-23,synthetic_demo_generator,relationship_health,"Customer-success call note for Summit Group 1005: stakeholder feedback shows NPS -48.0. The team discussed adoption blockers, executive alignment, and renewal confidence."
DOC-CUST-0007-00025,CUST-0007,renewal_risk_note,2026-05-16,synthetic_demo_generator,stable_growth,Renewal risk note for Bright Group 1006: account health score is 69.1. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0007-00026,CUST-0007,support_ticket_summary,2026-03-11,synthetic_demo_generator,stable_growth,Support summary for Bright Group 1006: 2 unresolved tickets remain open. The main theme is stable_growth. Customer sentiment should be monitored before renewal.
DOC-CUST-0007-00027,CUST-0007,contract_note,2026-04-05,synthetic_demo_generator,stable_growth,Contract note for Bright Group 1006: annual contract value is 12035. Payment delay is 9 days and tenure is 2 months.
DOC-CUST-0007-00028,CUST-0007,retention_playbook,2026-04-22,synthetic_demo_generator,stable_growth,"Retention playbook for stable_growth: recommended motions include executive check-in, support review, adoption coaching, and a commercially justified renewal incentive."
DOC-CUST-0008-00029,CUST-0008,contract_note,2026-03-18,synthetic_demo_generator,stable_growth,Contract note for Harbour Digital 1007: annual contract value is 7075. Payment delay is 19 days and tenure is 36 months.
DOC-CUST-0008-00030,CUST-0008,renewal_risk_note,2026-03-09,synthetic_demo_generator,stable_growth,Renewal risk note for Harbour Digital 1007: account health score is 73.0. Risk theme is stable_growth; the account team should validate evidence before committing action.
DOC-CUST-0008-00031,CUST-0008,customer_success_call_note,2026-05-20,synthetic_demo_generator,stable_growth,"Customer-success call note for Harbour Digital 1007: stakeholder feedback shows NPS -0.0. The team discussed adoption blockers, executive alignment, and renewal confidence."
DOC-CUST-0008-00032,CUST-0008,retention_playbook,2026-04-24,synthetic_demo_generator,stable_growth,"Retention playbook for stable_growth: recommended motions include executive check-in, support review, adoption coaching, and a commercially justified renewal incentive."
DOC-CUST-0009-00033,CUST-0009,retention_playbook,2026-04-27,synthetic_demo_generator,support_escalation,"Retention playbook for support_escalation: recommended motions include executive check-in, support review, adoption coaching, and a commercially justified renewal incentive."
DOC-CUST-0009-00034,CUST-0009,product_usage_summary,2026-05-03,synthetic_demo_generator,support_escalation,Product usage summary for Bright Systems 1008: usage score is 43.7 and last login was 16 days ago. Adoption trend is linked to renewal health.
DOC-CUST-0009-00035,CUST-0009,contract_note,2026-03-11,synthetic_demo_generator,support_escalation,Contract note for Bright Systems 1008: annual contract value is 24790. Payment delay is 15 days and tenure is 8 months.
DOC-CUST-0009-00036,CUST-0009,renewal_risk_note,2026-03-17,synthetic_demo_generator,support_escalation,Renewal risk note for Bright Systems 1008: account health score is 57.8. Risk theme is support_escalation; the account team should validate evidence before committing action.
